"S1SEQ2_MAJOR","F2SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.815217391304348
"ACCT","BMGT",0.0326086956521739
"ACCT","CRJU",0.0108695652173913
"ACCT","ECB",0.0108695652173913
"ACCT","IHS",0.0108695652173913
"ACCT","MCED",0.0108695652173913
"ACCT","MMTG",0.0108695652173913
"ACCT","UNDECLARED",0.0978260869565217
"ACM","ACM",1
"ADV","ADV",1
"AEDG","ARCH",0.5
"AEDG","ID",0.5
"AENG","AENG",0.5
"AENG","BMGT",0.25
"AENG","UNDECLARED",0.25
"AERN","ACCT",0.333333333333333
"AERN","AERN",0.333333333333333
"AERN","BMGT",0.333333333333333
"AMTH","AMTH",1
"ARCH","ARCH",0.333333333333333
"ARCH","ECON",0.333333333333333
"ARCH","MMTG",0.333333333333333
"ARTS","ARTS",1
"ATTR","ATTR",0.75
"ATTR","SPAD",0.25
"BMGT","ACCT",0.0078740157480315
"BMGT","BMGT",0.645669291338583
"BMGT","COMM",0.0078740157480315
"BMGT","CRJU",0.0078740157480315
"BMGT","ECON",0.0236220472440945
"BMGT","EDST",0.0078740157480315
"BMGT","ENG",0.0078740157480315
"BMGT","ENTR",0.0078740157480315
"BMGT","FIN",0.0236220472440945
"BMGT","FM",0.0078740157480315
"BMGT","HSPM",0.0078740157480315
"BMGT","MKTG",0.0078740157480315
"BMGT","MMTG",0.0078740157480315
"BMGT","NUTR",0.0078740157480315
"BMGT","UNDECLARED",0.220472440944882
"BSCI","BSCI",0.5
"BSCI","ENTR",0.5
"BUSU","BUSU",0.5
"BUSU","EXSI",0.5
"CAG","BMGT",1
"CHEM","CHEM",1
"CIS","CIS",0.8125
"CIS","UNDECLARED",0.1875
"CRFT","CRFT",0.5
"CRFT","VCD",0.5
"CRJU","ACCT",0.25
"CRJU","CRJU",0.75
"CS","BMGT",0.1
"CS","CIS",0.3
"CS","CS",0.5
"CS","UNDECLARED",0.1
"ECDE","ECDE",1
"ECON","BMGT",0.111111111111111
"ECON","ECON",0.666666666666667
"ECON","FIN",0.111111111111111
"ECON","UNDECLARED",0.111111111111111
"EHSG","MKTG",1
"ELMD","ELMD",0.5
"ELMD","NEWS",0.5
"ENG","MKTG",1
"ENTR","ENTR",0.857142857142857
"ENTR","PHOI",0.0476190476190476
"ENTR","UNDECLARED",0.0952380952380952
"EXPL","ACCT",0.0512820512820513
"EXPL","BMGT",0.205128205128205
"EXPL","BSCI",0.0256410256410256
"EXPL","CIS",0.0256410256410256
"EXPL","ECON",0.0256410256410256
"EXPL","EXPL",0.307692307692308
"EXPL","FIN",0.0769230769230769
"EXPL","MKTG",0.0769230769230769
"EXPL","MMTG",0.0512820512820513
"EXPL","PH",0.0256410256410256
"EXPL","UNDECLARED",0.128205128205128
"EXSI","UNDECLARED",1
"FIN","AENG",0.0222222222222222
"FIN","FIN",0.822222222222222
"FIN","MKTG",0.0222222222222222
"FIN","UNDECLARED",0.133333333333333
"FM","FM",0.5
"FM","MKTG",0.25
"FM","UNDECLARED",0.25
"GEOG","GEOG",1
"GEOL","ATTR",1
"GER","GER",1
"HSPM","HSPM",1
"ID","ID",1
"IHS","ENTR",1
"IMTH","FIN",0.333333333333333
"IMTH","IMTH",0.333333333333333
"IMTH","SPAN",0.333333333333333
"INSS","EXPL",0.333333333333333
"INSS","INSS",0.333333333333333
"INSS","MEDT",0.333333333333333
"MATH","BMGT",0.333333333333333
"MATH","MATH",0.666666666666667
"MCED","MCED",1
"MKTG","ADV",0.0285714285714286
"MKTG","FIN",0.0285714285714286
"MKTG","GEOL",0.0285714285714286
"MKTG","MKTG",0.685714285714286
"MKTG","PFDM",0.0285714285714286
"MKTG","UNDECLARED",0.2
"MMTG","BMGT",0.032258064516129
"MMTG","MKTG",0.0645161290322581
"MMTG","MMTG",0.67741935483871
"MMTG","NUTR",0.032258064516129
"MMTG","UNDECLARED",0.193548387096774
"NEWS","COMM",0.142857142857143
"NEWS","MMTG",0.285714285714286
"NEWS","NEWS",0.428571428571429
"NEWS","UNDECLARED",0.142857142857143
"NUTR","MMTG",1
"OPMG","OPMG",1
"PACT","ACCT",0.25
"PACT","PACT",0.75
"PBMT","PBMT",0.714285714285714
"PBMT","PEP",0.142857142857143
"PBMT","POL",0.142857142857143
"PFIN","PFIN",1
"PH","MKTG",0.125
"PH","PH",0.75
"PH","PHDF",0.125
"PHDF","PHDF",1
"PHIL","UNDECLARED",1
"PHY","FIN",1
"PMKT","PMKT",1
"PMMT","UNDECLARED",1
"PNUR","ACCT",0.25
"PNUR","BMGT",0.25
"PNUR","PNUR",0.5
"POL","POL",1
"PR","MMTG",1
"PSYC","BUSU",0.25
"PSYC","PSYC",0.5
"PSYC","UNDECLARED",0.25
"RPTM","SPAD",1
"SPAD","ACCT",0.142857142857143
"SPAD","BMGT",0.142857142857143
"SPAD","MKTG",0.285714285714286
"SPAD","SPAD",0.428571428571429
"SPED","SPED",1
"SPTR","FM",1
"TECH","TECH",1
"THEA","THEA",1
"UNDECLARED","BMGT",0.0285714285714286
"UNDECLARED","ECDE",0.0285714285714286
"UNDECLARED","ECON",0.0285714285714286
"UNDECLARED","MKTG",0.0285714285714286
"UNDECLARED","MMTG",0.0285714285714286
"UNDECLARED","UNDECLARED",0.857142857142857
"VCD","ECB",0.111111111111111
"VCD","EXPL",0.111111111111111
"VCD","FIN",0.111111111111111
"VCD","VCD",0.666666666666667
"ZOOL","PNUR",1
